content,category,,,Legal Document
"None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavours to pay the debt after the filing of the winding up application is recalled and that the company was, by operation of s 459C(2)(a) the Corporations Act 2001 presumed to be insolvent the Deputy Commissioner would have been entitled not to accept the cheque. A refusal to accept the cheque would not have eliminated the debt in question: Australian Mid-Eastern Club Ltd v Yassim (1989) 1 ACSR 399 , at 403 (NSWCA); Deputy Commissioner of Taxation v Visidet Pty Ltd [2005] FCA 830 at [3] per Gyles J. 21 In my opinion, the date for the determination of standing to apply for the winding up of a company is the date when the application is made. As it was when Motor Terms v Liberty Insurance (supra) was decided, the process for the winding up of a company remains today entirely statutory. By s 459A(1)(b) of the Corporations Act a creditor is one of the persons who may apply for the winding up of a company. The application for the winding up of Ganter was made by the Deputy Commissioner upon the filing of the application in this Court on 20 August 2008. At that time, the Deputy Commissioner was, on any view, a creditor. Like Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [5]), I am not persuaded that there is any requirement flowing from the Corporations Act that the applicant must continue to be a creditor at the time when the winding up application is heard. As his Honour there states (ibid), and though it is cited in a number of cases which he notes, the passage from the judgement of Menzies J in Motor Terms v Liberty Insurance (supra) does not support the existence of any such requirement. 22 The true position is that the applicant's status as a creditor at the time when the application was made and the presumption flowing from the company's failure to comply with the terms of a statutory demand are sufficient to give the Court jurisdiction to order the winding up of the company. That was the conclusion reached by Zeeman J in Deputy Commissioner of Taxation v Guy Holdings Pty Ltd (1994) 116 FLR 314 at 318. As did Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [6]), I agree with that conclusion. As Zeeman J observed in the Guy Holdings Case (at 320), ""in the case of an application under s 459P where the debt the subject of the statutory demand has been paid after the filing of the application, the application ought to be dismissed unless there is established some positive reason that a winding up order ought to be made"". His Honour is there referring to the way in which, in those circumstances, the discretion vested in the Court on the hearing of a winding up application by s 467 of the Corporations Act would ordinarily be exercised. 24 In their submissions the solicitors for the company pointed to the observation made by Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [8]), ""With trading companies the existence of a winding up proceeding is a very serious inhibition and has very serious impacts"". I respectfully agree. That is one reason why it behoves a company which wishes to keep trading to pay its debts as they fall due or at least later to comply with the terms of a statutory demand. It is also a reason why, all other things being equal, a Court would be disposed, as a matter of discretion, to dismiss a winding up application if satisfied that the debt owed to the applicant creditor had been paid. Another consideration not to be ignored is the protection of the revenue. Yet another consideration is that Ganter, by its solicitors, initially agreed with the Deputy Commissioner's proposal that on 13 November 2008 the adjournment of the application for one week ought to be sought. A further consideration is the public interest in whether a company which is presumed to be insolvent ought to be permitted to continue to trade or whether it ought to be wound up. 25 Ganter's change of heart as to the course which ought to be taken on 13 November 2008 seems to have been multi-factorial in origin. Inferentially from the submissions made to me and to the District Registrar it was founded upon what I regard as the misapprehension that the payment of an applicant creditor's debt obliged the Court to dismiss a winding up application, as opposed to that being a factor going to discretion. Likewise, it seems to have been grounded on the belief that the acceptance of the bank cheque by the Deputy Commissioner extinguished the debt then and there, as opposed to so doing upon the fulfilment of the condition subsequent of the cheque's being cleared. Further, it seems to have been grounded upon the belief that, the cheque payment having been recorded as a credit on 11 November 2008 in its accounts, the Deputy Commissioner was obliged, as a ""model litigant"" to agree to the dismissal of the winding up application on 13 November 2008. 26 This, with respect, misapprehends the obligation that falls on those representing the interests of the Crown in civil litigation. One of those interests, and it is a vital interest, is the protection of the revenue. The Deputy Commissioner would certainly have failed in his duty to the Court as a model litigant had the acceptance of the cheque and the terms upon which it had been accepted not been drawn to the Court's attention on 13 November 2008. It was. Especially as matters then stood as to the clearing of the bank cheque and the Deputy Commissioner's knowledge as to the practice of the NAB in relation to the circumstances in which it would not meet a bank cheque and the time within which any such disposition on the part of the bank would usually be signified, it was not unreasonable for the Deputy Commissioner to resist the dismissal of the application that day. The position then to take was a matter for the value judgement of the Deputy Commissioner in the circumstances in the administration of the taxation laws. The entry in the accounts of the ATO had no more than a provisional quality about it.",Legal Documents,,,
Appellant S396/2002 v Minister for Immigration and Multicultural Affairs [2003] HCA 71,Legal Documents,,,
"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel can be founded: Morales v Minister for Immigration and Multicultural Affairs [1998] FCA 334 ; (1998) 82 FCR 374 ; Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518. It is perhaps understandable, in the light of the history of the proceedings from the decision of the delegate all the way to the High Court, but very unfortunate, that counsel for the appellants should have sought to argue issue estoppel.",Legal Documents,,,
"I find that the decision was perverse to such an extent as to exhibit a serious failure in the decision making process, with the consequences that the decision was so unreasonable that it was beyond power: see TCN Channel Nine Pty Ltd v Australian Broadcasting Tribunal (1992) 28 ALD 829 at 861.",Legal Documents,,,
"On 15 June 2007 I made orders extending the convening period for the meeting of creditors required to be held under s 439A of the Corporations Act 2001 (Cth) (the Act) to midnight 23 July 2007 in relation to a number of companies, being the members of what is known as the Estate Property Group (the Group), together with some ancillary orders on the application of the administrators of the companies in the Group (the Administrators) ( Hayes, in the matter of Estate Property Group Limited (Administrators Appointed) [2007] FCA 935). In a related application concerning Australian Capital Reserve Limited (Administrators Appointed) (ACR), on 12 June 2007 orders were made extending the ""decision period"" provided for by s 441A(1)(b) of the Act to the last day of the convening period for a number of companies in the Group ( Australian Capital Reserve Limited (Administrators Appointed) v High Tower Investments Pty Limited (Administrators Appointed); in the matter of High Tower Investments Pty Limited (Administrators Appointed) [2007] FCA 1028). On 13 July 2007 the convening period for the second meeting of creditors of those companies was further extended to midnight on 31 August 2007 utilising the provisions of s 447A(1) of the Act to achieve that result and certain ancillary orders were made. I indicated then that I would give reasons for those orders in due course. These are those reasons. These reasons should be read with those in Hall, in the matter of Australian Capital Reserve Limited (Administrators Appointed) [2007] FCA 1328 to be delivered contemporaneously. The background to these reasons is set out in the various judgments to which I have referred and need not be repeated.",Legal Documents,,,
in the matter of High Tower Investments Pty Limited (Administrators Appointed) [2007] FCA 1028,Legal Documents,,,
"On 30 March 2006 Siopis J made interim orders restraining the defendants from removing any of their property from Australia or from otherwise dealing with it except to the extent set out in the order. He also directed the surrender of their passports. His Honour published his reasons for those orders on 5 April 2006 Australian Securities and Investments Commission, In the Matter of Richstar Enterprises Pty Ltd (ACN 099 071 968) v Carey [2006] FCA 366. 16 On 7 April 2006 I made orders extending the operation of the interim injunctions granted by Siopis J (subject to some undisputed variations) until 5pm on 12 April 2006 which was the date set down for the hearing of the substantive application. Following the hearing of the substantive application those orders were further extended to 5pm on Thursday 20 April 2006 subject to further agreed variations. Judgment on the substantive application was reserved to 2.15pm on Thursday 20 April 2006. 17 There was an application made on behalf of the second defendant for an order setting aside the ex parte orders made by Siopis J on the basis that there had not been full disclosure by ASIC of relevant evidence to the Court. The second defendant submitted that ASIC's evidence predominately related to transactions involving other defendants which were not relevant to the second. I am not satisfied that any material non disclosure is shown. In any event the interim freezing orders lapse today.",Legal Documents,,,
"There is a variety of ways in which the interests of persons, to whom liabilities may be owed, can be protected by orders made under the section. The nature of the protection can vary according to the nature of the risks assessed. As Palmer J said in ASIC v Mauer-Swisse Securities Ltd (2002) 20 ACLC 1530 at [37]: '... there may be evidence to suggest that fraud has been perpetrated on a large scale and that many of the victims have no or little information about the extent of the fraud, no or little means for their own investigations, and no or little resources to prosecute their own claims. In such a case, the interests of such persons are protected, within the contemplation of s 1323, by enabling ASIC to conduct an investigation for the purpose of identifying the wrongdoers and exposing them not only to penalties under the Corporations Act and other legislation, but also to claims for compensation from the victims themselves.' `",Legal Documents,,,
"The orders that can be made under the section are directed, inter alia, to the preservation of assets against which recovery may be sought in the event that liability to an 'aggrieved person' is established on the part of a 'relevant person'. The orders are made in circumstances where 'an investigation is being carried out', 'a prosecution has been begun' or 'a civil proceeding has been begun'. That is to say the orders can be made before liability is established and indeed before the evidence necessary to establish liability has been collected. While an application under the section is not interlocutory in an existing criminal or civil proceeding, it is interlocutory in a wider sense. It preserves the status quo and the assets of the relevant person pending the outcome of the investigation, prosecution or civil proceedings which are on foot CAC v Lone Star Exploration NL( No 2) (1988) 14 ACLR 499 at 504. At the stage an order is sought the Court may not be in a position to identify with precision any particular liability owed by the person the subject of the proposed order. This consideration applies to final orders made under the section as well as to interim orders for which it expressly provides in s 1323(3). The final orders made under the section are necessarily of a temporary or holding character rather than finally disposing of the rights and liabilities of the relevant persons affected by them.",Legal Documents,,,
"The circumstances in which the Court may make orders under s 1323(1) are wide as indicated by the words 'necessary or desirable ... for the purpose of protecting the interests of a person ...'. There is an element of risk assessment and risk management in the judgment the Court is called on to make. It follows, and has been accepted, that there is no requirement on the part of ASIC to demonstrate a prima facie case of liability on the part of the relevant person or that the person's assets have been or are about to be dissipated Corporate Affairs Commission v ASC Timber Pty Ltd (1989) 7 ACLC 467 at 476 (Powell J); Australian Securities and Investment Commission v Adler (2001) 38 ACSR 266 at [7] (Santow J).",Legal Documents,,,
"It is not a necessary consequence of an order appointing a receiver that the receiver should deal with or liquidate the assets in question. The interlocutory and protective character of orders made under s 1323 must be borne in mind when defining the powers of the receiver. The appointment of a receiver has rightly been described as 'an extraordinary step' ASIC v Burke [2000] NSWSC 694 at [8] (Austin J). However depending upon the nature of the powers conferred on the receiver it may be less drastic than a freezing order which can only be varied by order of the Court. The interlocutory history of this case has already demonstrated that circumstances not contemplated when the original interim freezing orders were made have required their variation from time to time. I accept, with respect, the observation made by Austin J in Burke at [8]: 'Without wishing to lay down any general rules, it appears to me that the extraordinary step of appointing a receiver may be justified, even though Mareva Orders are in place, in a case where there is real doubt about the existence and location of assets such as investments, and about the number and identity of claimants and the nature of their claims, and additionally the defendants are engaged in business activities which entail that any Mareva Orders must allow assets to be turned over in the course of business. Where these circumstances exist in combination, and especially where there are allegations of serious fraud involved, the Court may conclude ...that the Mareva Orders are not enough to ensure that the assets are preserved and protected, and indeed identified and brought in for the benefit of investors.' The decision was cited with approval by Santow J in ASIC v Adler (supra) at 268-269. 30 Section 1323 does not make any express provision for the nature of the evidence on which the Court may act in making orders under it. Applications made under the section have an interlocutory character albeit there are no other specific proceedings to which they may relate. The section does not require concluded findings of fact about liability or whether assets have been dissipated. For the reasons already canvassed the Court, in making orders under s 1323 , engages in a risk assessment and management process. The logic of the section assumes that the Court will not always have before it evidence of the kind that would be necessary and admissible in proceedings to establish definitively the nature and extent of the assets of the persons under investigation and their liability to aggrieved persons. Nor will it necessarily have before it evidence of the kind that would establish definitively that dissipation of assets has occurred or is likely to occur or that flight is imminent. 31 The logic of s 1323 requires the Court to be able to act on evidence which might not be admissible in civil or criminal proceedings leading to a definitive determination of the rights and liabilities of the parties. Hearsay evidence may therefore be received and acted upon, not as proof of the truth of its content but as evidence of the existence of a risk or possibility that gives rise to the necessity for or desirability of a protective order. It is not necessary, in this context, to consider whether the proceedings are interlocutory for the purposes of the exception to the hearsay rule under s 75 of the Evidence Act 1995 (Cth) albeit that that exception is no doubt informed by similar considerations. Evidence may be received of the opinion of a suitably qualified person who has had the opportunity to review extensive documentation collected in the course of an investigation and to offer an overview of it for the benefit of the Court. In such a case the opinion or overview should be supported by reference to the relevant documentation and factual material. The opinion is received not for the determination of any ultimate issue of liability but as probative of the risk which the Court must assess in determining whether to make an order under the section. These considerations are relevant to the admissibility of some of the affidavit evidence which has been relied upon in this case. 32 Specific objection has been taken on behalf of the second defendant to the use of transcripts of examinations conducted under s 19 of the ASIC Act. It was submitted that pursuant to s 68(3) of the ASIC Act such transcripts are not admissible in evidence against the person who has signed the record in a proceeding for the imposition of a penalty. It was submitted that the present proceedings are, in truth, proceedings for the imposition of a penalty. This is on the basis that if interlocutory in nature, then they are interlocutory in respect of proceedings not yet commenced but which will inevitably be penalty proceedings. 33 Accepting that there is a possibility that penalty proceedings may be taken against one or more of the defendants in this case that does not, in my opinion, render the present application an application for the imposition of a penalty or an application incidental to such proceeding. As already noted, evidence may be relied upon of a hearsay or opinion character in these proceedings which might not be admissible in penalty proceedings. The same is true for s 19 transcripts. 34 It was submitted for the second defendant that because ASIC seeks an order that the reasonable costs of the receivers and managers whose appointment it seeks should be payable from the collective assets of the defendants, that fact itself gives the present application the character of a penalty proceeding. In my opinion however, the submission is misconceived. An order for the payment of costs out of the collective assets of the defendants would not of itself amount to the imposition of a penalty. Although it may effectively deprive defendants of some of their property that imposition is not by way of punishment for any contravention of the law. 35 Objection was also taken to the admissibility against the second defendant of transcripts of examinations of other parties conducted under s 19 of the ASIC Act. In this respect s 77 of the ASIC Act was relied upon. That section provides: 'Where direct evidence by a person (the absent witness ) of a matter would be admissible in a proceeding, a statement that the absent witness made at an examination of the absent witness and that tends to establish that matter is admissible in the proceeding as evidence of that matter: (a) if it appears to the court or tribunal that: (i) the absent witness is dead or is unfit, because of physical or mental incapacity, to attend as a witness; or (ii) the absent witness is outside the State or Territory in which the proceeding is being heard and it is not reasonably practicable to secure his or her attendance; or (iii) all reasonable steps have been taken to find the absent witness but he or she cannot be found; or (b) if it does not so appear to the court or tribunal unless another party to the proceeding requires the party tendering evidence of the statement to call the absent witness as a witness in the proceeding and the tendering party does not so call the absent witness.' It was submitted for the second defendant that ASIC has not adduced evidence in respect of the matters set out in s 77(a) and that therefore the s 19 transcripts of those parties that are not parties to the proceeding may only be tendered if the conditions set out in par (a) are set out. Counsel for ASIC on the other hand submitted that the second defendant had not required ASIC to call any absent witness as a witness in the proceeding and that therefore the condition of admissibility under s 77(b) of the Act was satisfied. Given the urgency with which the application has been made, it is perhaps a little unrealistic to require advance notice by the second defendant of the requirement that any absent witness whose s 19 transcript is relied upon be called as a witness in the proceeding. In my opinion, however, the transcripts of the examinations conducted under s 19 can be relied upon as tending to establish the possibility that circumstances exist which give rise to the necessity or desirability of a protective order. What is in evidence here is the fact that the statement was made in the course of a s 19 examination. The fact that the statement was made, rather like the hearsay evidence referred to earlier, may support an inference that circumstances exist that make a protective order necessary or desirable. It is not necessary to rely upon such evidence for the purpose of establishing the truth of the statement made.",Legal Documents,,,
"In Australian Securities and Investments Commission v Pegasus Leveraged Options Group Pty Ltd (2002) 41 ACSR 561 at 574 ("" Pegasus ""), Davies AJ addressed the question whether the sole director of the company which promoted and operated a managed investment scheme should also be considered to be a person operating the scheme. His Honour said at [55]-[57]: ""The word 'operate' is an ordinary word of the English language and, in the context, should be given its meaning in ordinary parlance. The term is not used to refer to ownership or proprietorship but rather to the acts which constitute the management of or the carrying out of the activities which constitute the managed investment scheme. The Oxford English Dictionary gives these relevant meanings: 5. To effect or produce by action or the exertion of force or influence; to bring about, accomplish, work. 6. To cause or actuate the working of; to work (a machine, etc). Chiefly U.S. 7. To direct the working of; to manage, conduct, work (a railway, business, etc); to carry out or through, direct to an end (a principle, an undertaking, etc) orig. U.S. I have concluded that Mr McKim operated the managed investment scheme. He was the living person who formulated and directed the scheme and he was actively involved in its day to day operations. He supervised others in their performance. I have also concluded that Mr McKim is not exempted by s601ED(6). He did not 'merely' act as agent or employee of Pegasus. He was the directing mind and will of Pegasus and of the scheme."" 35 Mansfield J reached a similar conclusion in Australian Securities and Investments Commission v McNamara (2002) 42 ACSR 488. In that case, the individual in question was one of the directors of the company managing the scheme. His Honour found that the person in question formulated and directed the scheme, and was actively involved in its day to day operations as the directing mind and will of the company managing the scheme. Accordingly, he was operating the scheme in contravention of s 601EB(5). In making these findings, Mansfield J approved the passage in Pegasus to which I have referred. 55 Since Australian Softwood Forest Pty Ltd v Attorney-General (NSW ) [1981] HCA 49 ; (1981) 148 CLR 121, esp at 125, the courts have recognised that the grant of declaratory relief on the application of a statutory body such as ASIC may serve important law enforcement purposes: see Corporate Affairs Commission (NSW) v Transphere Pty Ltd (1988) NSWLR 596 at 603; Australian Securities and Investments Commission v Sweeney [2001] NSWSC 114 at [30] - [31] ; and Pegasus at 571. ASIC is charged with the administration and enforcement of the Act , and there will be many cases where it is in the public interest for the courts to make a declaration on ASIC's application that the Act has been contravened in specified respects. The making of such a declaration does not simply record the outcome of enforcement proceedings; it may also be an appropriate way of marking the court's disapproval of the contravening conduct: see Tobacco Institute of Australia Ltd v Australian Federation of Consumer Organisations Inc (No 2) (1993) 41 FCR 80 at 97-99, 106 and 110. 77 ASIC does not seek an order that BTS be wound up, even though there is some evidence that it might be insolvent. In many cases, it may be appropriate, and it may further investor protection, to make winding up orders in respect of both the unregistered managed investment scheme and the company which administered the scheme: see Pegasus at 579-580, at [95] [98]. Indeed, in Australian Securities and Investment Commission v Chase Capital Management Pty Ltd (2001) 36 ACSR 778 at 796, Owen J said at [93] that if an unregistered scheme is to be wound up, the case for a liquidation of the company that conducted it is compelling.",Legal Documents,,,
"MultiCultural Affairs Mansfield J reached a similar conclusion in Australian Securities and Investments Commission v McNamara (2002) 42 ACSR 488. In that case, the individual in question was one of the directors of the company managing the scheme. His Honour found that the person in question formulated and directed the scheme, and was actively involved in its day to day operations as the directing mind and will of the company managing the scheme. Accordingly, he was operating the scheme in contravention of s 601EB(5). In making these findings, Mansfield J approved the passage in Pegasus to which I have referred. 74 In ASIC v Takaran Pty Ltd (No 2) (2003) 194 ALR 743 at 747-748, at [15], Barrett J made the following observation, with which I agree: ""The fact that a scheme is being operated by its existing operators in contravention of statute activates a public interest in favour of not only its being wound up under s 601EE ( Australian Securities and Investments Commission v McNamara (2002) 42 ACSR 488) but also 'ensuring the transparency of the winding up process and the safeguarding of the rights of the contributories' by committing the winding up to an independent party ( Bells Securities Pty Ltd v LPG Mourant [2002] QSC 156 ; BC200202989 per Wilson J; see also Australian Securities and Investments Commission v Product Management Group Pty Ltd (2002) 42 ACSR 343).""",Legal Documents,,,
Numerous cases have held that s 911A of the Act extends to a company director who conducts or is involved in a company's carrying on of a financial services business without an Australian financial services licence: see Australian Securities and Investments Commission v Giann &amp,Legal Documents,,,
"Since Australian Softwood Forest Pty Ltd v Attorney-General (NSW ) [1981] HCA 49 ; (1981) 148 CLR 121, esp at 125, the courts have recognised that the grant of declaratory relief on the application of a statutory body such as ASIC may serve important law enforcement purposes: see Corporate Affairs Commission (NSW) v Transphere Pty Ltd (1988) NSWLR 596 at 603; Australian Securities and Investments Commission v Sweeney [2001] NSWSC 114 at [30] - [31] ; and Pegasus at 571. ASIC is charged with the administration and enforcement of the Act , and there will be many cases where it is in the public interest for the courts to make a declaration on ASIC's application that the Act has been contravened in specified respects. The making of such a declaration does not simply record the outcome of enforcement proceedings; it may also be an appropriate way of marking the court's disapproval of the contravening conduct: see Tobacco Institute of Australia Ltd v Australian Federation of Consumer Organisations Inc (No 2) (1993) 41 FCR 80 at 97-99, 106 and 110.",Legal Documents,,,
"Section 1324 permits the Court to grant an injunction ""on such terms as the court thinks appropriate"". These words echo the concluding words of s 80(1) of the Trade Practices Act 1974 (""TPA"") which state that the Court may grant an injunction in such terms as the Court determines to be appropriate. These words were introduced into s 80(1) by a 1983 amendment to the TPA, which, to adapt the language used by French J in OD Transport Pty Ltd v WA Government Railways Commission (1987) 13 FCR 500 at 508, freed the power conferred by s 80 from the previous constraint that the injunction granted under it must restrain a person from engaging in conduct that constitutes or would constitute a contravention of Part IV of Part V of the TPA or one of the species of accessorial participation there listed. 67 French J said that s 80 was a widely drawn remedial provision which was available to restrain conduct which may infringe upon the public interest by contravening the provisions of the TPA in Part IV and Part V. His Honour added at 268: ""There is room within the statutory framework and the policy that underlies it for an injunction which is intended not to restrain an apprehended repetition of contravening conduct but to deter an offender from repeating the offence. That deterrence is effected by attaching to the repetition of the contravention the range of sanctions available for contempt of court. The possibility remains open, by virtue of s 80(3) , that after a suitable period unmarked by further contravention the party restrained may apply to the court to rescind the order. The remedy is flexible and may be applied in service of a variety of functions to support the policy of the Act . This was a proper case for the grant of that relief.""",Legal Documents,,,
